identifiant GO	définition	occurence	pvalue
GO:0002057	F:guanine binding	{'GO:0000006': 0}	1.0
GO:0002058	F:uracil binding	{'GO:0000006': 0}	1.0
GO:0002083	F:4-hydroxybenzoate decaprenyltransferase activity	{'GO:0000006': 0}	1.0
GO:0002094	F:polyprenyltransferase activity	{'GO:0000006': 0}	1.0
GO:0002097	P:tRNA wobble base modification	{'GO:0000006': 0}	1.0
GO:0002098	P:tRNA wobble uridine modification	{'GO:0000006': 0}	1.0
GO:0002099	P:tRNA wobble guanine modification	{'GO:0000006': 0}	1.0
GO:0002100	P:tRNA wobble adenosine to inosine editing	{'GO:0000006': 0}	1.0
GO:0002101	P:tRNA wobble cytosine modification	{'GO:0000006': 0}	1.0
GO:0002128	P:tRNA nucleoside ribose methylation	{'GO:0000006': 0}	1.0
GO:0002131	P:wobble position cytosine ribose methylation	{'GO:0000006': 0}	1.0
GO:0002132	P:wobble position uridine ribose methylation	{'GO:0000006': 0}	1.0
GO:0002136	P:tRNA wobble base lysidine biosynthesis	{'GO:0000006': 0}	1.0
GO:0002143	P:tRNA wobble position uridine thiolation	{'GO:0000006': 0}	1.0
GO:0002161	F:aminoacyl-tRNA editing activity	{'GO:0000006': 0}	1.0
GO:0002181	P:cytoplasmic translation	{'GO:0000006': 0}	1.0
GO:0002184	P:cytoplasmic translational termination	{'GO:0000006': 0}	1.0
GO:0002188	P:translation reinitiation	{'GO:0000006': 0}	1.0
GO:0002189	C:ribose phosphate diphosphokinase complex	{'GO:0000006': 0}	1.0
GO:0002196	F:Ser-tRNA(Ala) hydrolase activity	{'GO:0000006': 0}	1.0
GO:0002935	F:tRNA (adenine-C2-)-methyltransferase activity	{'GO:0000006': 0}	1.0
GO:0002937	P:tRNA 4-thiouridine biosynthesis	{'GO:0000006': 0}	1.0
GO:0002938	P:tRNA guanine ribose methylation	{'GO:0000006': 0}	1.0
GO:0002939	P:tRNA N1-guanine methylation	{'GO:0000006': 0}	1.0
GO:0002943	P:tRNA dihydrouridine synthesis	{'GO:0000006': 0}	1.0
GO:0002949	P:tRNA threonylcarbamoyladenosine modification	{'GO:0000006': 0}	1.0
GO:0002952	F:(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity	{'GO:0000006': 0}	1.0
GO:0002953	F:5'-deoxynucleotidase activity	{'GO:0000006': 0}	1.0
GO:0003333	P:amino acid transmembrane transport	{'GO:0000006': 0}	1.0
GO:0003676	F:nucleic acid binding	{'GO:0000006': 0}	1.0
GO:0003677	F:DNA binding	{'GO:0000006': 0}	1.0
GO:0003678	F:DNA helicase activity	{'GO:0000006': 0}	1.0
GO:0003680	F:AT DNA binding	{'GO:0000006': 0}	1.0
GO:0003681	F:bent DNA binding	{'GO:0000006': 0}	1.0
GO:0003684	F:damaged DNA binding	{'GO:0000006': 0}	1.0
GO:0003688	F:DNA replication origin binding	{'GO:0000006': 0}	1.0
GO:0003690	F:double-stranded DNA binding	{'GO:0000006': 0}	1.0
GO:0003697	F:single-stranded DNA binding	{'GO:0000006': 0}	1.0
GO:0003700	F:DNA-binding transcription factor activity	{'GO:0000006': 0}	1.0
GO:0003723	F:RNA binding	{'GO:0000006': 0}	1.0
GO:0003724	F:RNA helicase activity	{'GO:0000006': 0}	1.0
GO:0003725	F:double-stranded RNA binding	{'GO:0000006': 0}	1.0
GO:0003727	F:single-stranded RNA binding	{'GO:0000006': 0}	1.0
GO:0003729	F:mRNA binding	{'GO:0000006': 0}	1.0
GO:0003730	F:mRNA 3'-UTR binding	{'GO:0000006': 0}	1.0
GO:0003735	F:structural constituent of ribosome	{'GO:0000006': 0}	1.0
GO:0003743	F:translation initiation factor activity	{'GO:0000006': 0}	1.0
GO:0003746	F:translation elongation factor activity	{'GO:0000006': 0}	1.0
GO:0003747	F:translation release factor activity	{'GO:0000006': 0}	1.0
GO:0003755	F:peptidyl-prolyl cis-trans isomerase activity	{'GO:0000006': 0}	1.0
GO:0003756	F:protein disulfide isomerase activity	{'GO:0000006': 0}	1.0
GO:0003774	F:motor activity	{'GO:0000006': 0}	1.0
GO:0003796	F:lysozyme activity	{'GO:0000006': 0}	1.0
GO:0003824	F:catalytic activity	{'GO:0000006': 0}	1.0
GO:0003825	F:alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	{'GO:0000006': 0}	1.0
GO:0003839	F:gamma-glutamylcyclotransferase activity	{'GO:0000006': 0}	1.0
GO:0003841	F:1-acylglycerol-3-phosphate O-acyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003842	F:1-pyrroline-5-carboxylate dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0003844	F:1,4-alpha-glucan branching enzyme activity	{'GO:0000006': 0}	1.0
GO:0003848	F:2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	{'GO:0000006': 0}	1.0
GO:0003849	F:3-deoxy-7-phosphoheptulonate synthase activity	{'GO:0000006': 0}	1.0
GO:0003850	F:2-deoxyglucose-6-phosphatase activity	{'GO:0000006': 0}	1.0
GO:0003852	F:2-isopropylmalate synthase activity	{'GO:0000006': 0}	1.0
GO:0003855	F:3-dehydroquinate dehydratase activity	{'GO:0000006': 0}	1.0
GO:0003856	F:3-dehydroquinate synthase activity	{'GO:0000006': 0}	1.0
GO:0003857	F:3-hydroxyacyl-CoA dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0003861	F:3-isopropylmalate dehydratase activity	{'GO:0000006': 0}	1.0
GO:0003862	F:3-isopropylmalate dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0003864	F:3-methyl-2-oxobutanoate hydroxymethyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003866	F:3-phosphoshikimate 1-carboxyvinyltransferase activity	{'GO:0000006': 0}	1.0
